sentiment,content
worry,"thinking about having lunch soon, but we have no food in"
love,i just made myself a wonderful breakfast!! now i have to get ready to workout
neutral,is thinking about a career change
neutral,men it is far too sunny
worry," if i can run by then, i will join you..miss running"
sadness,"another gorgeous day here in pau..will be home this time in 2 weeks though, such a depressing thought!"
sadness,good morning folks 13 more days to go! and sadly 2 more days of the giro  but that means the tour is not too far away
worry,"nyc placements have started to come out, but it looks like upgrades might have to wait yet another two weeks for placements! dreadfully"
sadness,"drop the girl she is only got it for your heart she is sure to leave broke and bleeding, and you know she will turn her back on you.  i lo .."
sadness, that is how it was for me in march..it came soo slow..then it was over in a heartbeat
surprise,so im dogsitting at my friends house and her cleaning lady came this morning. and she told me i looked like i was 18.  man. growing younge
sadness,finally back from the stupid holiday ! missing the fit bar men though
worry,"moving office tomorrow after 3 years at this one, its a sad day"
happiness,last time we will get tacos like this.
happiness, nice! it is days like today i wish we had a garden
worry,my lord! this day is going to slow
neutral,i may have to take a trip in to the loft to get the fans down..its like being in spain!! except without a pool to cool down in  xx
sadness, i wish i was outside
sadness,"ooh whatchu goin as? monsterpalooza is this weekend for us.  on the no ink, i wo not be a stressed contestant this year! miss u x0"
sadness, i have too much work to drink now.  but i do love afternoons in the pub.
sadness,watching chicago.  honeyy im with you i miss me some hey arnold! and wild thornberrys
worry,am hating my life at the moment. there is only so many nos my delicate little mind can take
neutral, how did we just get paid and still be broke as hell?! no shopping spree for me today
sadness,. i am sitting here with this girl that urk my nerves damm yo
worry," you are a busy bob, i am jealous. i am not sure i can even afford to go meet john de lancie and leonard nimoy"
sadness,"well,only one week left of my holidays,sad sad"
neutral, omg and you have to do this when i am at work and ca not listen
worry,"great. my mom is pissed at me, so she sent me to the asbestos filled backroom"
love," haha awe. well right now, i could be at home but i have to be here. it is horrible  lol"
worry," i guess it will work under fusion. otherwise you will have to boot directly to vista just to do some online banking, which sucks"
sadness,my puffy is leavingg  noo
worry,i am going to miss my imac so much over the next month.
sadness,rainy day today.  no car so we are stuck in the house  i needed to go to the post office too..bastards
worry, not too good  how are you feeling today?
happiness,i really want to see cash cash again
neutral, u already took da pic with out me
sadness,thanks gourmetcook! but cold shower would not help.
worry,i am never going in to town on a sunny friday in half term again. eugh got no electricity
happiness,aah good bye mikee  smoked crabs!
neutral, i only ever seem to listen to dirty these days. most of our cd is are still at greg is parents
worry,"  oh no matey, did you get ill?  it would be a bit mean of suzi to be calling you chicken scabs if you are not!"
neutral,
sadness, you are missing the devil wears prada!! sad..
surprise, damn! a mass unfollowing and i didnt get the invite! im bummed now
neutral,sitting in an empty yearbook room.  attempting to figure this asap out lol
worry, oh my gosh ian i always miss you when your on
sadness,my hairstylist left the salon without telling me where she was going.  damn!
worry, lots and lots of red wine..knowing good and well how it has managed to make me sick a few times before
neutral,sitting in awe that the price to renew my laptops warranty has doubled in a matter of weeks
sadness,"tgif, too bad the weather sucks.."
worry,figuring out wats wrong with her she can drink but cant eat  ..
sadness, probably not. i hate when that happens!
sadness,just paid my bills now i have no money
worry,waiting patiently to go out tonight..al by my lonesome
worry,"ok, back to the dentist today. all i want to do is bask in the sun"
sadness,ugh back to work today
sadness,i hate being young
worry, that is beautiful! thanks for sharing.. my grandpa was recently diagnosed with alzheimers too..
neutral, hmm they are on offer in tesco as well but i do not think the wee one next to me will stock them!
worry,nomatter how much i sleep am still tired  either going to sleep early or late..
sadness,field day.. gt class..not winning..
sadness,loves florida but misses her american friends
love,"so far absolutely perfect. great view, directly across from the elevators and ice machine and impecible weather. i need my bike."
sadness,"michael scofiled noo !!  i hate the writer, director n production"
happiness,last night was fun w the lightening and thunder  today will be in the 90s
neutral, me too  chrome is popup blocker is better
worry,where is teng?
neutral,i love how nice the weather is today and i am camping tonight! oh and i hate my hair
worry, pleease reply !
neutral,just missed paul the ice cream man at work
neutral,last quiz of the week. now back to the grind
love,"altona.. wogs, gota love em.. all i can smell is awsome food and makes me hungry"
happiness, yes pm pm you are right
worry, thanks he got hurt wednesday and going to vets today
happiness, it is friday and sweldo day too
worry, that happened to me once.. only i was not drunk. lol
neutral, it is sad.. i feel bad when i hear it. they look like mid 30 is. it is like something u wld see on lifetime
sadness, no sir..i woulda put honey..but i do not have any
neutral," so, how long have you been at the airport? can you smoke inside a bar or somehting?  would suk to do security again, lol"
sadness, besides i have not had strep for like 10 years because of that reason. i am more tired than anything else
worry," yes, apnea, but it is not the prob. i am on meds that might be causing this.  they help otherwise so much, do not want to stop"
worry, i dont know  i didnt even realize it was gone  let me put it up again..darn twitter!
worry,"wanna know a not fun way to wake up? having a panic attack and not being able to breath for no fucking reason, that fucking sucked"
worry,up. showered. struggling for the drive to get out the door. i am gloomy. i miss my sway.
neutral,my hubby is staying for one more week in uzbekistan
sadness, i have the most failures using lacie drives
love,"little beetle not feeling any love  searches are bring up zilch, bar 2 peeps that appear funny !!"
worry,well can ya please send some luvin to  im sensing deep fiery anger surrounding his presence right now..
love,im not feeling like getting myself in motion to go to work..
happiness, happy birthday dork!! lots of love for you today!!  i wish i was there so i could buy you a drink  make it a great night!
worry,is surprised lleyton isnt putting up much of a fight
surprise, omg!! that is tragic!
surprise,soo cloosee
neutral,i am not gonna be here when the new transformers comes out.. i will be in colombia
surprise,notion video deleted.
worry,ca not play world in conflict because the computer is running too slow
happiness, chillin promoting muzik..not eating  lmaao
worry,it is a bad start to the day when you are sweating your butt off before 0930 at the range
sadness, i wanted to go for my birthday..
sadness, lolol..i was trying to do that this morning but sadly i couldnt
sadness,another long walk in the heat.. i hate this..
sadness,"spyed princess anne today, and listented to all my friends cooking up the perfect evening, working sucks for me and ob ?"
worry," why ca not i buy the new night in for toes? i see it, it is within my grasp, but it is just not bringing it to my shopping cart"
sadness,"just watched devil wears prada, and i want to live in new york city more than ever. why must i be so poor"
worry, yeess i ca not wait! too bad i ca not drink
worry,off to work! missing out on all the sunshine!
neutral,wants her boo  btw love fhnixon is posts hilarious!!
sadness, that is mean of them!
worry,i am so pissed off today n sadly.. ca not even share the reason here
worry,well it is friday and usually the start of something awsome..i am not sure if that will be this time around  i gotta shake this
sadness, no wonder i did not get into urbana
worry, aww!!
happiness,just had an iced coffee. christ that tasted nasty
neutral,"allergies  sun is out, wearing shorts.  stuck with my advisory the whole day.. this should be boring. except fun. if people make it fun?"
worry,"why does the beach have to be so far away from atl??  need beach, need beach."
worry, aw man im sorry! i have logical reasoning i promise! i had to study in order to tutor my new student! 4give me
worry,"i missed you yesterday, lacey.  we get to go to granulation tonight, though."
sadness,i ran out of eclipse mints
worry,off to work again .. mercedez is last day
love,noo! i do not wanna leave! i love it here
worry,to eat or not to eat? its gonna be my last meal for the next 2 weeks.
worry,just got past really bad crash..car was mangled
neutral,"im going in now, it looks like the sun has gone"
worry,oh no somebody hacked into my email  i am scared now. what the fuck!!
neutral,"i am loving the fact that there is tension on the set of iron man 2, poor gwenyth ca not handle being in scarlett is shadow"
sadness, i was scared by the daleks in the dw exhibition in cardiff.
worry, i bet he did not fall asleep till like this morning  sorries.
worry," yeah but there are like 5,00 types of snakes..and it is wicked wicked wicked hot..and idk. i do not think i would like it"
sadness,i ran outta bathroom passes.  maybe mrs. french will be nice today?
worry,"had to come in, was baking out there and have slight headache now"
worry,"do not think that went well, was only in there for 15 mins"
sadness,"for all the effort and time put into some of these relationships with people, you learn enough not to trust anyone.."
worry, hi donnie today i want 2 hear from u that u guys r going to reschedule nc so i dont have 2 b bummed anymore
sadness, i am watchign the garden from the window..far too hot for me
love,not feeling very well.
worry, i am lost. please help me find a good home.
sadness,i slept so late
neutral,i hate pc
worry,well dnt really knw wot to do stay wit some 1 who doesnt want 2 b wiv me or move home to rents after 4yr of bein away
love,at starbucks with my love. eff school. i have work later too.
worry, looks like we are on the exact same track  nothing worse than not being able to fix things for someone you love.
worry, my club card and picture and i just cured world hunger! and made of gold! this thing is awesome! too bad you do not have yours.
worry, yucky!  time to bring out the vaccuum and go to war. our house is always a spider haven for some reason. not cool.
neutral,is about to go to work..
sadness,..aw i want classic burger.
sadness,i always feel last.
surprise,pshh i dont have it
neutral,  he did not come to school 2day
sadness, aww sorry we are going to miss you!
sadness, so you would not reply to my gorgeous hot pink shoe then?
sadness,okay i lied! i meant this time next week! that is soo much longer!!  i miss my mommy..
worry,i am trying to figure out how on earth i am supposed to be able to update my statuses via my phone. someone help mee!
surprise, ah yes dropping the bear thing  it is such a lovely day here! very odd for stafford!!
worry,it is official nobody is getting a raise this year
worry,been 2 years and m still devistated that they knocked down my old primary school
worry," oh, i see what you mean. that is true if they are used improperly, which we know they are."
worry,today is my last day of employment for the next 3.4 years. here i come graduate school!  going to miss the action at ww.shugartbates.com
worry,e3 2009 will be the first time i will not get to see g4tv is e3 coverage since comcast moved the  g4 channel from basic cable to premium
neutral, yen lol but i can only get the vid on my phone and ipod cant find the song  lol
neutral,im up  ..going to work!
happiness,had a lovely day yesterday. the weather was great! now stupid slapton
sadness,"on the way home , no sleep  makeup and pedicure then graduation ceremony"
neutral,only 2 more days of minnie
worry," i never know whether they include me. just straight white men, right? i wanna be part of the problem too."
worry,back to work.  extremely slow now that start up is over.
sadness, yes..but now i am not going to be paid to be in the pub
sadness, hey dee.. i wish i could make it to the mastermind session tomorrow  i am in a wedding in statesboro. hope to chat soon.
worry, scary!
love,boo. finally i could get back on here. my internet went out
sadness,wishing i got fij
worry,need sumthing for this excruciating headache
neutral, truee
worry,my mother is taking gambit to the vet today. i hope it is nothing too serious.
sadness, i had bad net issues on weds so could not broadcast  am on tonight tho.. tune in for new anthems and bad mixing!
worry, haha ..i cudnt get tickets for dublin ..i was soo upset
sadness,is tanning with emily! too bad its prob gonna rain
sadness,i think i have hayfever. not sure due to wearing next to nothing in horrific weather on wed.
worry," tom! do a tour in the philippines, please?  that would be so awesome!"
love, thankyou. i wont but you know
worry,is hoping that she left her bb at home and did not lose it on the metro
happiness, congrats mollie! just wish i could have got some tickets
neutral,"it feels like it should be a bank holiday weekend!  i bet it is in france, they are always on holiday.."
worry,"oh kasa, please lose the hair do"
sadness,"lunch time! feeling really odd today, generally not great"
sadness,shopped til i dropped..come bac sunshine i miss u
worry,"my sisters in laws house, car and tree got hit by lightning last night! aint that some shit lol its on the news, aww me sorry"
sadness, looks like they dialed it in a lot..payed attention to all the small but important details in gameplay..still no blood tho
sadness, anything for . so sorry man  i am not a patsy generally..
surprise,my best friends bought something which i really want.
sadness, i am soo disappointed that that is what he looks like btw! the image is gone
love,watching midsomer murders.. totally in love with this show. should have pursued forensic psychology instead of this brain thingy
worry," still waiting for a email  from max. so i consider no news, bad news."
surprise," ohmigod, i would have loved that. alas, there was just lots of gun play. no dancing"
happiness,it just hit me that i am leaving conti..  boo..
worry," yes, and i really hoped to do one last gas price story.. but i guess it was not meant to be!!"
worry,my back hurts
surprise, um your latest tweet sounds like something bad has gone down.
sadness,"once again, i am dealing with cancer in my direct family. bugger  cancel sucks!"
sadness,  tis a sad day
neutral,just went with kerri to her locker for the last time.
sadness,my stomach effing hurts. sadly there will be no gym class this afternoon
sadness, i wish i was there too
sadness, i wish for kiau to go cat heaven too. and meet my seuss
worry," i was not given an exact date, but it should not be much longer. please accept our apologies for the inconvenience!"
love, ahh ok! enjoy! i will miss it
sadness,cab is so slow so i will probably miss the first beer..
sadness,  passed away
worry,ca not feel my tail bone.
worry, good luck.. i have still to get wireless working post it6
worry," you must be doing different poetry to me. all we get is catullus, some ovid and and an extract from the aeneid.  x"
worry,"there are many jobs i aspire to, supervisor is not one of them  talk about too much stress for too little pay"
worry,so tired and i do not know why
worry,"kidney stones again  what did i ever do to deserve this kind of pain, not once or twice but five times in my life?? took drugs, peace out"
worry, nothing definite yet..and the show is in a week  i may just be resorted to giving them away
surprise, whaat. i still have next week
worry, i thought u were down here so i came down and u were mom said no rj took them
neutral,"sitting here, waiting to go to the gym..almost left, then realized i never charged my ipod from my trip to wisconsin..it is dead"
worry,"maan! i spent an hour on a project for work, only to have the computer bork and crash and lost it all"
sadness, noo.. u dont even know how upset i am right now..
worry, i use to own a 32 lbs tabby cat. got him for north shore animal league he had diabetes
sadness,"well,  i discovered i ca not swim.  i am out.  sorry"
worry,"i am looking forward to going home tomorrow, but i really wish it was for a different reason."
neutral," jailbreak went great, just not a tremendous amount of apps ready for 3.0 though. no winterboard yet"
surprise, you are so lucky you get to travel.
worry,tgif. i do not feel good.
happiness," hahaha chivalry is not dead, just rare"
love, lol..heeyy love! not much working  and you
worry, aww.. sorry for both of you.  may the lord give you strength and rest today!
sadness,experiencing pain with paginating asp.net listview controls
worry,painting my nails green in an attempt to look like an army person. annoyed that everyone seems to tan apart from me! freckles and sunburn
surprise,sometimes i wish i had my own prototype mentor.
worry,trying to revise environmental studies and write my personal statement at the same time is really hard!!
worry,"this is very bad news..  btw, now i started with some friends to make the jedi academy unleashed mod. it will be only sp and for pc!!"
neutral," haha, yeah. it was here and there before but now it is constant"
worry, i entered it in within 20 seconds of post and still did not get it
worry, still no internet today
neutral," but have you got , and twitted a link to it. no? fail."
worry,super hungry.. dominos or martabak.. both tempting and fattening
surprise,my chick wont shut up  will only stop chirping if i sit with the bloody thing.
happiness, morning t! i love their breakfast! if i was not stuck at the shop right now getting maintenance done to the ride!
happiness,o dnt even like wearing  my skinny jean no more cuz of yall bitch ass ni99as..
neutral,to doente
sadness,i dont get it
worry, i am so sorry
happiness,"ooh lovely, a ridiculous amount of revision left to do"
sadness,"beyonce helps me through the day, i am starting to get sick"
sadness,oh my poop. stupid twitter wo not let me put up a new picture.
neutral,has got grass all over him
love, so you are gonna make me go all the way to the store?? lol  i have to find one..i will google.  thanks.  lol
surprise, exactly. she becomes completely incapable of anything unless he is there helping her. too many of those are out there.
worry, and! you wouldnt even be able to go. its too far for you
sadness,"my head is starting to ache again, and i have to reinstall operating systems on 31 computers."
sadness,  your picture makes me thristy everyday!
neutral,google chrome forgot what everything looks like for some reason
sadness,the columbus blue jackes may be movieing to anew city to play at  thats sad news
sadness,"stupid rain, now our picnic is cancelled till tomorrow"
surprise,"oh man, there are dead deer everywhere in michigan."
neutral, you are phone is off
sadness,wants to go home with the seniors
sadness,"will this rain ever go away, my puppy is getting cabin fever and she does not like going out in the rain"
surprise, i was hoping for a better trailer
surprise,people!! wat the hell is a follower on twitter?? i dont get it!!
worry,about to get my wisdom teeth pulled!
worry,woke up and felt a sharp pain in the back of my leg. no school for me today
worry,taking a load of old broken concrete to the landfill. tried to find a recycler
worry,sitting at the connection listening to the employees reminisce and mope about their last shift
worry,misses driving already
happiness,"what up world im just chillin, bout to go get this money!! but in this economy no money is easy money anymore"
sadness,crying so hard..
worry,i really miss you  i wish you were down here
worry,i am very conflicted here.  i really like mike but i still have feelings for darrin.  it is really complicated.  i do not know what to do.
surprise, that will make things fair. my poor tiger has no claws or nutz
neutral,at the dentist. i have a hole in my tooth
neutral, i will be back soon
happiness, nothing yet  still looking..but lets for sure do lunch next week!!
worry,is afraid she caught that thing going around.. i feel utterly drained and it is only 10 am!
worry," though it was a cold that would go away, turns out it is a sinus infection that just keeps getting worse and worse by the day."
neutral,dreading history coursework on monday
worry,i gotta do my assignments tomorrow  omg mackillop has swine
sadness,ughh have a tummy ache
sadness,why are we busy ugh i have the largest headache
neutral, hahaha no you do not! it was amazing! they are really amazing! today they have another one. i ca not go
love,jesus christ meadowhall could do with better air con! too hot
neutral, link does not work
sadness,"has had a fab day on placement, but working all weekend."
sadness,its a gorgeous day and i am going to work all day  just gotta keep telling myself its for nyc!!
worry,bye la.. i already miss you
sadness,pengen nonton friens of mine comeback show di prost beer house kemang besok.. tapi ga bisaa..
worry,i wanna watch pcd concert dad
worry,"what a dreary, rainy, crappy day."
sadness, no no no lol i cut my bangs like kate hudson in bride wars a few months ago and it was super cute. looks diff this time
surprise, good morning!  it is raining here
surprise, i did not see this until after
sadness, not columbus but just wanted to say sorry to be missing indiana show tomorrow. so sad  i will be in the woods with 8 gs.
sadness,missing ontario..
worry,i am very very tired
worry, the newest versions are not any better
worry," none of meowmie is friends have money, and even if they did, she would not be able to pay them back."
sadness,what a bad day 1 of my close relative has died so i wont be going to florida
sadness, that sucks.  did you save any of it?
worry,gah the sunlight is so bright today it is giving me a headache  resorted to wearing new sunglasses
sadness,bad grades again
worry,10 25 am still waiting on the doc to come and break my water.
neutral, i am not part of that generation unfortunately.  this is really good though
worry,i want to borrow an mx5 this weekend
happiness,so i get up early and i feel good about the day. i walk to work and i am feeling alright. but guess what.. i do not work today.
worry,just been in the garden but i was being attacked by bugs so i came inside
worry,i know that just sounded really stupid.  having 2 jobs sucks. i do not like feeling like this. i feel bitter and angry. what am i? 70??
sadness,vcenter is screwing up on me today.  more specifically the mssql server that it connects to.
neutral,"getting ready to head out to camp allen.  unless somethings changed, that means no phone service for about 24 hours."
worry,eatting all these candies i bought from little mexico last night.. charged my ass .50 for swipping my card and it all taste like shampoo
sadness, hey ruthie girl.. u send me all these lovely twitts but never respond!  i am hurt.. how is mikey and dion?
sadness, neither could i! and i looked on ebay and it was like 250 euro for two!! but i doubt my parents would fork that amount out
neutral, dude im sleepy and went to bed as soon as i got home.  whhaacck.
sadness, i would have to agree on the bacon cupcake.. would rather drive 2 the shop instead of 2 the office
sadness," what makes me sad is when i follow someone i converse with and have similar bios, but they do not follow me back!"
worry,you know you are too old to party like a rockstar when..you realize no one else claps when they dance. it is just you
sadness,"browsin thru the videos in my multiply and i saw the video u sang with my bf. i miss you, n. we all miss you. pls come back wherever u r."
neutral, i ca not be mean without you.
sadness,now i am all sad because i will probably never see fleetwood mac.
neutral, i dunno..i thought i was funny
sadness,i feel guilty bc i think it is my fault the hard drive died
sadness,could do with some messages to cheer me up  !!  
happiness," hey welcome to va, lol.  it is muggy up here by dc too.  worst part of summer i would say"
sadness,is in the costume shop cleaning and starving. bring me food??
sadness," sorry, but i do not see a twitter user named "
worry,sorry guys i did not sign in for a while  sorry every1
worry,horrid dream. i suspect i will have to cancel my plans tonight..
neutral, shitt
neutral, snap to grid. i just realized that i have not seen iqbal in 5 days.
worry, so sorry to hear about your mum.
happiness,i do not think i am very well. just in time for the weekend
neutral,follow friday is a bit hard to do when my work kicks in on fridays
worry,my online portfolio is down  great..esp when jobs are trying to look at it
happiness,"i want dazzle,"
love,i think everyone hates me on here  lol
worry,"the one day i do my hair, weather sucks  where is the sun?"
neutral, do not you agree?
worry,"4 hours of sleep, a migraine, again? what is wrong with me?  hate my life"
worry, my riding time has been dismal too during these rainy weeks.  have not been able to make myself to go to the gym instead.
worry, dammit i had the passes but i am still at work
sadness, i am just sick of stupid guys but for a moment u make me believe not all of them suck then i get back to reality
worry,going to the doctors now. scared as shit.
worry,my body hurt  i need a rub down like now!
worry, i am lost. please help me find a good home.
worry," i am totally gutted, i ended up with my foot in a cast today so i ca not travel to nottingham now to see you guys  xx"
worry," 140 characters, i find, is rarely enough to elaborate much upon anything."
sadness, curses upon the ridiculously slow internetz at work!  the dang image just now loaded..
sadness, lmao i need a shopping partner today.
love,"it is you and me forever ?, it is you and me right now  flywithmeobsessive. im crying"
worry,my throat hurts
worry, effy breaks my heart.
happiness, concert tonight at fenwayy! hopefully the rain stops
sadness," unfortunately, i will be nowhere near the beach. i have fam in that area, too."
neutral,watching it rain
worry," aw, man!"
love, kisses! or its screwed. i will be a raggy old cat woman ha i am pretty sure of it
happiness,such a beautiful day. i just wish i had the energy to enjoy it.
sadness,darn it that was supposed to be a haiku but the formatting failed me.
neutral,i have to go to work now.
neutral, hey handsome!  i am packing
sadness,really wants to buy new clothes
neutral,i hate not being able to twitterize on my cell phone  oh well
sadness,walk was grand peeps lol feet are really hurting now thought  xx
happiness,"shopping with  tonight, cant wait!  lucky bastard  has already finished work  im stuck here forever!"
worry,trying to get into the groove of studying  heellpp mee
sadness,how could they kill him? hollyoaks made me sad.
worry, when they do not pop well. i feel lousier after playing those.
sadness,i need to get my life together aka my apartment all cleaned and back how it was before my birthday
neutral, gah i forgot about separate bins. maybe this is a bad idea
worry,ahh everyone is out today taking in the sunny weather except me  might go and watch some tv..
neutral, i am with ya..  does not  follow me either
surprise,?? weekend standby duty??
happiness,getting cds ready for tour
worry,got back from walking to school gotta go back around one or two that heat almost gave me a stroke
neutral,goin to work
worry,you know you are working to late when you hear about the sun setting via twitter
neutral,presentations finished. busted ankle after stupido models broke catwalk and i twice fell in hole in beautiful bottle green mary janes
neutral, kill it jasmine! have not talked to you for ages.
neutral,"ok i am frustrated, there is hella dust between the screens of my blackberry"
sadness,my car is in the car hospital for the nxt 7 days  i gotta go pick up a loaner car b4 6! bein without wheels 4 7day will set me back heavy!
worry, did you already get your update? i havent yet
worry,  lol y? is it really gross??  i am hungry and theres nothin to have
neutral,need a nap  but i have to take 4 trains now
worry, not sure i can make it afterall
worry,"i had my chance and blew it, now i have to suffer the consequences..gnite tweeps"
sadness, oh no!!  well.. when you get back lots of pictures!!
worry,my sister got a lunch date and i do not
sadness," alas, we ca not broadcast the lunches as we have no bandwidth in those rooms"
worry,sitting at my desk wishing things were different
neutral,
worry,not feeling comfortable with myself today
worry, you looked great for being sick yesterday! i am sorry i did not really make an effort to say hi..  i was preoccupied for a while
neutral, she said no
love,"i forgot to put my work clothes in the dryer  also, i love my new slippers!"
worry,i have a headache
happiness,"so i cannot find my poetry book. it was not at my dad is and i am about to tear up my room looking for it. it i do not, i am gonna be sad"
sadness,tracy and berwick breaks my achy breaky heart  they split ways in the hallways.
happiness,chatted with my old schoolmates. aww  i miss my highschool.
sadness,  ooh but you soon get to meet the dung mice!!
neutral,is watching the final episode of e.r  goon subo 2 win britians got talent
surprise, what? i was being serious.
happiness,wales here i am! 1st 2 weeks away in wales. but idk if the guys at school really like me..
surprise,"energy steadily increasing, thankfully, but the cough is not going away."
sadness, gutted you wo not be on live office girls anymore
neutral,starting to pack stuff up
sadness,taking my brother to the airport  then gym.
sadness, you do not wanna see me while you are here?
neutral,eating lunch. then school
worry,"on hold with unemployment, hoping to get call completed before i need to get daughter from school! not looking good"
worry,ok nevermind. photo was set to private. sorry.
sadness,just got home from school and from the wake of my friend is father.  so tired..
sadness,"is off to get her hair cut in the morning, and is not looking forward to spending a weekend alone"
sadness,life can get soo dull sometimes what do you do when u have no 1 around  x
worry, i think i am going to do lennys.. i dont know! ahh! lol i hate making decsions!
neutral, im back on twitter.
happiness," well, i must say she is very lucky to have you! i guess that means no chillin and concert with me huh"
surprise, u never told me abt ur date .. who is the lucky guy im so out of the loop
sadness,i am too busy at work today..it is interferring with socializing
surprise," juice! i miss juice, any fruit"
worry," i totally agree. i just do not like it when everybody closes the windows in buses, trains etc. i am afraid of getting diseases there"
neutral," haha, i actually have it here but it wo not hook up to the internet!"
sadness,the mall i once worked at has turned into a very depressing place
worry,  what to say?
worry,slept at my parents the bed was hard as a rock now my back feels like a rock
neutral,still at work.
happiness,..exams.  haha just remembrd the china buffet king yesterday. vair amusing ..
worry, i could have bought a vespa with the amount of money i just spent
sadness,  lol.. zzy in office and i am alone in my bay again.
worry,i always feel like i am betraying her trust in me when i drop the pup off at the groomer.
surprise, is it true that you love brazil more than australia  nitey
sadness,it is raining..
worry,omg i was so nervous last block. i had my speech and i almost puked. it was horrible.. i bet i got a bad grade on it..
surprise,heading down to beach! still no fone..woo!
sadness,  i was supposed to be coming..life got in the way lol give my friends a wild time!!
happiness,managed to find a bottle of pimm is! if only we had the weather to go with it
worry,i am really bored! my brother went to get his permit! stay off the roads! jk lol! it feels like all my friends have abandoned me! except 1
worry, i would be there.. but i live across the country
worry,"so hot in the office as air con been broken for weeks, fans on all round office but they just push hot air around really and not helping"
sadness," cool, not a big user of dm though"
worry,wait a sec. there are only 8 more days left of hotdogging?  ..i did not sign up for this..
worry,ive got a headache now
worry,"i did not wake up early enough to go roller blading  contrary to a tributary, i flow endlessly"
sadness,i do not like waiting
neutral, ya i heard 7 was a giant leap in the right direction. this is a work comp though  ill enquire!
worry,  i wish i knew..  trying to figure something out here too
worry,i think i am running a fever and not feeling so well!
worry,mouth hurts
sadness,tryin not to fall asleep at work..
worry,". i missed your party..you must forgive me pleasse, i feel bad.."
sadness,my wife lost her sprint blackberry 8330 on a bike ride in am.  anyone have an extra bb laying around? retweet
sadness, i need to do some more post but i do not have time on this tour  .. apologies to all my supporters.
worry,its payday! yay! for all the good it does. bills bills bills..i am broke again already
sadness, ca not! need to work on overtime project at lunchtime.  sorry!
worry,so tired. work today.
worry,"ok, i have to turn off all of my twitter device updates until i get a new battery. phone goes from fully charged to dead in about 5 hours"
worry,i have high cholesterol
worry,headed to verizon. praying that pinkberry is going to make it.
worry,back to the salt mine for my one day work week. so much to do.
worry,lol! that bank told me the time.
worry, me 2
neutral,gonna go and see my sister at mount saini ..  she is there for at least another 24 hours.
sadness,"so now, i have conjunctivitis in my left eye. is this a sign of something? what did i do wrong to deserve this?lol i am dying people!"
neutral, i am not going till wednesday
sadness,is very disappointed that cadbury chocolate blocks got smaller
worry, i want to come over
worry,i am nauseous  i need a yogurt or something..
sadness,hicks are mean!
neutral, omgg hhaha noo! drag me to hell is evviil! and angels and demons supposedly sucked  ohh no haha
sadness,i miss my baby
happiness, yes!! one final party  better make it a good one !! how much mpre stuff you got to go?
sadness, my camera is brokenn
neutral,omg cliff richard songs in my mind? just why  lol
worry,i now know more than i ever wanted to know about the extinction of frogs
sadness, come online! i need someone to talk to
sadness, thanks i decided to just give up on my old hq and go with this account. scoundrels won
worry,really nice outside..i am stuck at work
worry,gardening stuff i ordered got returned to sender because it was damage  need to work out how to get to a garden centre.
neutral,i have a fever
worry, since the demise of woolworths it is not easy to find reasonably priced pick n mix anywhere
worry,thinks lamb chops would be really nice right about now.. or maybe some sushi  mm.. maybe just an ice lolly cos its so damn hot!!
sadness,my back is killing me. stupid softball
neutral,  nope  i really want to play it aswell
worry, it wo not ever happen again..i feel like i let my team down
happiness,tired and all i want to do is play random songs on my gitwar but i have to do my drama essay.
neutral,still in same queue barely 1 metre from where i last twittered. this is insane. and i paid for this
sadness,"again, i am stuck in traffic jams .. somewhat starting to be the same situation every day. that is sad, really"
worry, sorry to hear.
surprise,cant fall asleep.
love,fallen in love with enter shikari again. might go for a walk with the lady later.  now though
sadness, i wish we could make a quick trip to la in july  i miss la
sadness,  do not wanna miss any of your shows..you guys kick it! sad to say..my plane is in the shop..
worry,my car died this morning.  on top of everything that happened yesterday.  whoever put the hex on me please let me know what i did wrong?
sadness,conference call arranged for 4.30pm today just blew my leaving early out the window
worry, my dad had to bury ours six weeks ago. she became his after i left for college fourteen years ago. long time to have a kitty.
worry,gonna go and see my sister at mount sinai ..  she is there for at least another 24 hours.
sadness, bored in class. i wanna go home.
surprise, what?! he chose one of them? noo.. betty was supposed to get him in the end.
worry,"well, my dog still is not at the shelter. i hope someone good has him"
neutral, not working here
worry, are you still angry with me?
worry, i am lost. please help me find a good home.
surprise,just waking up..ahh i have a headache
worry,the plan to not spend money is not going well
surprise," it is annoying bc my hair products do not have perfume, but smell like the ingredients in them"
sadness, ..snuggles you back..everyones telling me to get over it ..but ive had her 15 years  x
worry, we are running out of things to tweet to you.  wish we could get your reply! come to the philippines?  tweet!
sadness,why do you hurt me? does it bring you joy to see me cry? you know i love you more then anything and yet u break my heart everyday!
neutral,my bum hurts.
happiness, hey hey..i am only finishing on the 10th of june
neutral,i hope my morning show does not get cancelled!
worry,i feel like crap right now and i have one more month of school left  fml hard
surprise,does not think  will be following me..
worry,dangling belly rings are a bad investment..the cutest ones always pop
worry, what time you close today? is it the last day today or tmr? i may shed a tear
worry,  sorry to read about your layoff.  i will keep you in my thoughts.
sadness, i am soo disapoointed i could not make it  i will be there next time! glad it was productive.
worry, the there is confuse me
neutral,"nvm, i will stop. whatever. see you 5th i guess"
neutral, i guess it is easier said than done for some people..myself being one of them unfortunately
